id,code,name,color_hex,icon,is_active,created_at,updated_at,deleted_at
9daaa1a9-daad-4a9c-9fe4-153d0ff7d03f,spa,Spa,#D9EAD3,,t,2026-07-22 10:17:20.987075+07,2026-07-22 10:17:20.987075+07,
5b2bd633-f3bf-48e1-8e5b-4aadb31a4c62,lash,Lash,#EB8CF2,,t,2026-07-22 10:17:20.987075+07,2026-07-22 05:31:41.933+07,
4c79cb25-bfd1-4921-81f0-2f415fad350f,shampoo,Shampoo,#0F990F,,t,2026-07-22 10:17:20.987075+07,2026-07-22 05:32:12.323+07,
c9d5abd3-f975-4d08-891c-2d4932b57b79,nam,Nam,#3B82F6,,f,2026-07-22 05:33:30.258+07,2026-07-22 05:34:22.585+07,2026-07-22 05:34:22.584+07
79bce5a5-1c3a-4206-bab7-8b8f017b4f13,nail,Nail,#FE0000,,t,2026-07-22 10:17:20.987075+07,2026-07-22 07:08:07.157+07,
